step;price;dividend;variation;volume;is_rationed;pct_bit;excess_demand
0;80;10;0;0;0;0;0
0;0.01000000000000000020816681711721685132943093776702880859375;10;0;0;True;-38.50378658578473390707835546;2.8E-27
1;0.01000000000000000020816681711721685132943093776702880859375;9.969525222177665050119252706;0;0;True;-49.31960452694732577145021326;-1E-27
2;0.01000000000000000020816681711721685132943093776702880859375;9.958256604460937240039397089;0;0;True;-49.46820576115326100380493324;1E-27
3;0.01000000000000000020816681711721685132943093776702880859375;9.959880473369748781528591326;0;0;True;-48.94056867367934953215849459;3.2E-29
4;0.01000000000000000020816681711721685132943093776702880859375;9.924346446170066115197605242;0;0;True;-49.30473498408409226976642574;-2.49E-27
5;0.01000000000000000020816681711721685132943093776702880859375;9.873953169889977015955148030;0;0;True;-49.21323895119477857322081013;5.0E-28
6;0.01000000000000000020816681711721685132943093776702880859375;9.756699829176137971964169788;0;0;True;-50.32622421169222746779380542;-1E-29
7;0.01000000000000000020816681711721685132943093776702880859375;9.827716928074420361720921456;0;0;True;-49.13564098453853824200962681;-1.58E-27
8;0.01000000000000000020816681711721685132943093776702880859375;9.810001685605473511229013585;0;0;True;-49.37030648784751833217681891;-2.5E-27
9;0.01000000000000000020816681711721685132943093776702880859375;9.742003505817316661196590236;0;0;True;-49.38660827787896535912240298;-8.4E-28
10;0.01000000000000000020816681711721685132943093776702880859375;9.856799542643474896603047123;0;0;True;-48.12458913119291470458450389;9.4E-28
11;0.01000000000000000020816681711721685132943093776702880859375;9.976465564196730700537517792;0;0;True;-44.28110109257357838253623966;-3E-28
12;0.01000000000000000020816681711721685132943093776702880859375;10.05066979560541619615545509;0;0;True;-210.4231118408139163451592671;-1.126E-26
13;0.01000000000000000020816681711721685132943093776702880859375;10.02530035027483738547920456;0;0;True;-55.28378403682918408606545008;6.6E-27
14;0.01000000000000000020816681711721685132943093776702880859375;10.07499775430147840015846397;0;0;True;-60.33170403107351229510008374;-8.7E-28
15;0.01000000000000000020816681711721685132943093776702880859375;10.12744754054822255199405090;0;0;True;-237.1729542115994542803221486;-1.41E-26
16;0.01000000000000000020816681711721685132943093776702880859375;10.24845316657563685812304941;0;0;True;-52.93127462758568403482963565;1.7758E-26
17;0.01000000000000000020816681711721685132943093776702880859375;10.44308644437463337138953576;0;0;True;-53.22367139577151331318143955;-3.1E-27
18;0.01000000000000000020816681711721685132943093776702880859375;10.46445269709539092585927433;0;0;True;-54.41816324606468779177591663;4E-28
19;0.01000000000000000020816681711721685132943093776702880859375;10.43943813567200697018445527;0;0;True;-54.37051268567130828344076487;-8.9E-28
20;0.01000000000000000020816681711721685132943093776702880859375;10.44578846731547883348623511;0;0;True;-53.85716851516777854340367681;1.007E-27
21;0.01000000000000000020816681711721685132943093776702880859375;10.53600504263513441442018376;0;0;True;-323.8013009165987049244627282;-3.17E-27
22;0.01000000000000000020816681711721685132943093776702880859375;10.58223230012189969949544327;0;0;True;-52.98622958176924353047917953;-1.792E-26
23;0.01000000000000000020816681711721685132943093776702880859375;10.53028472956549669004607607;0;0;True;-54.16936343261047441453514678;-4E-28
24;0.01000000000000000020816681711721685132943093776702880859375;10.55473291462760471707118050;0;0;True;-53.72101612844189481651846280;-1.41E-28
25;0.01000000000000000020816681711721685132943093776702880859375;10.58319594285804253175661077;0;0;True;-262.6872847026937970626009541;-6.28E-27
26;0.01000000000000000020816681711721685132943093776702880859375;10.68141414876996581865818650;0;0;True;-52.39554459872556595645904271;-1.761E-27
27;0.01000000000000000020816681711721685132943093776702880859375;10.85439937745924586467058594;0;0;True;-50.72642463112226520739879746;-1.2E-27
28;0.01000000000000000020816681711721685132943093776702880859375;10.85519998352577277621030846;0;0;True;-50.56097917156214504173011392;-9E-28
29;0.01000000000000000020816681711721685132943093776702880859375;10.81064805778086971066527232;0;0;True;-50.79291852191257163819773520;-5.4E-29
30;0.01000000000000000020816681711721685132943093776702880859375;10.79843789331889842045797921;0;0;True;-50.58803978658529475940838125;-1.466E-27
31;0.01000000000000000020816681711721685132943093776702880859375;10.87102199733838300638256016;0;0;True;-48.51435970187229986542255671;4.8E-28
32;0.01000000000000000020816681711721685132943093776702880859375;10.90049840708998584698195938;0;0;True;-253.6247797176517653868998442;-9.73E-27
33;0.01000000000000000020816681711721685132943093776702880859375;10.83263753118517851602441197;0;0;True;-50.01968201672961587348796903;3.325E-27
34;0.01000000000000000020816681711721685132943093776702880859375;10.84196807616630243832343793;0;0;True;-52.88702853295578559762622452;2.15E-28
35;0.01000000000000000020816681711721685132943093776702880859375;10.85606934631980535419045174;0;0;True;-50.78410362494337389069894961;2.7E-27
36;0.01000000000000000020816681711721685132943093776702880859375;10.94064388205864048785232200;0;0;True;-46.54822290007250517574851504;1.85E-27
37;0.01000000000000000020816681711721685132943093776702880859375;11.10066762408348678889290193;0;0;True;-47.20275031610478655829285554;-7E-28
38;0.01000000000000000020816681711721685132943093776702880859375;11.08915481781880164328500154;0;0;True;-47.14777931742131712355486430;6E-29
39;0.01000000000000000020816681711721685132943093776702880859375;11.03290515035924712399654900;0;0;True;-47.19905899547393180221003983;6.6E-28
40;0.01000000000000000020816681711721685132943093776702880859375;11.00958213126835695325249439;0;0;True;-247.8712176145668996759133151;-8.020E-27
41;0.01000000000000000020816681711721685132943093776702880859375;11.07160902339036860316066181;0;0;True;-41.46281159073216950836611081;1.794E-27
42;0.01000000000000000020816681711721685132943093776702880859375;11.09105608183937215501330255;0;0;True;-256.0281807874464645491949238;-2.6338E-26
43;0.01000000000000000020816681711721685132943093776702880859375;11.01366732219709550019172726;0;0;True;-48.88078287411388121481128160;-1.268E-26
44;0.01000000000000000020816681711721685132943093776702880859375;11.01394637762762356524304977;0;0;True;-50.37729361363681149337487291;8.320E-28
45;0.01000000000000000020816681711721685132943093776702880859375;11.01944873270806041712671218;0;0;True;-48.70552237513428361004724273;1.13E-29
46;0.01000000000000000020816681711721685132943093776702880859375;11.09585429912748279038626716;0;0;True;-43.58268042401999492479183477;-4.344E-27
47;0.01000000000000000020816681711721685132943093776702880859375;11.24811752029888696940742268;0;0;True;-227.0416218383299379006329030;7.0E-27
48;0.01000000000000000020816681711721685132943093776702880859375;11.22923221922343180822570547;0;0;True;-43.53333597838528093738505946;-1.07E-26
49;0.01000000000000000020816681711721685132943093776702880859375;11.16597868169364577446953148;0;0;True;-44.60065041124332978038914240;-3.50E-28
50;0.01000000000000000020816681711721685132943093776702880859375;11.13600198603603566529217581;0;0;True;-237.7959360039010028153934644;-8.01E-28
51;0.01000000000000000020816681711721685132943093776702880859375;11.19170788541966337398418981;0;0;True;-38.92599376871707593136575343;-1.5028E-26
52;0.01000000000000000020816681711721685132943093776702880859375;11.20515000076720218196219328;0;0;True;-40.84199282927035603225271494;1.379E-27
53;0.01000000000000000020816681711721685132943093776702880859375;11.12205654517853402072638563;0;0;True;-46.86038825851297497225273491;-3.9E-28
54;0.01000000000000000020816681711721685132943093776702880859375;11.11691613945999015493752678;0;0;True;-48.47210175492370495226807139;-4.03E-28
